Item #,Description,Type,Price,Core Deposit
155-5,VAN DIVIDER,Pick-Up/Van,$44.99,$0.00
123,VENT PANEL (COWL) UNBOLT,Car,$40.99,$0.00
207,VENT-A/C HEATER (INSIDE),Car,$9.49,$0.00
602,VOLTAGE REGULATOR,Car,$16.99,$0.00
324,WATER PUMP,Car,$25.99,$1.99
144,WEATHERSTRIP (PER FOOT),Car,$5.99,$0.00
560-5,WHEEL & TIRE CUSTOM SET 2,Car,$211.99,$0.00
560-6,WHEEL & TIRE CUSTOM SET 4,Car,$362.99,$0.00
560-4,WHEEL ALUMINUM,Car,$35.99,$14.99
560-1,WHEEL-STEEL,Car,$24.99,$0.99
617,WINDOW MOTOR,Car,$44.99,$0.99
125-2,WINDOW REGULATOR W/MOTOR,Car,$48.99,$2.99
125-1,WINDOW REGULATOR W/O MOTOR,Car,$29.99,$0.00
113-3,WINDSHIELD RUBBER,Car,$17.99,$0.00
708,WINDSHIELD WASHER FLUID,Car,$3.89,$0.00
622-1,WINDSHIELD WASHER-BTL W/MTR,Car,$16.99,$0.00
621-1,WINDSHIELD WIPER ARMS EA,Car,$8.99,$0.00
621-2,WINDSHIELD WIPER LINKG ASSY,Car,$21.99,$0.00
620,WINDSHIELD WIPER MOTOR,Car,$42.99,$0.99
621-3,WIPER BLADES,Car,$3.99,$0.00
650A,WIRE HARNESS NO ACC,Car,$46.99,$0.00
648,WIRE PIGTAIL,Car,$5.99,$0.00
709,WORK GLOVES,Car,$5.99,$0.00
442-1,YOKE,Car,$14.49,$0.00
