Item #,Description,Type,Price,Core Deposit
550-1,POWER STEERING HOSE-RETURN,Car,$5.99,$0.00
553,POWER STEERING PUMP (ALL),Car,$47.99,$4.99
550-2,POWER STEERING RAM,Car,$59.99,$4.99
553-1,POWER STEERING RESERVOIR,Car,$21.99,$0.00
600-5A,POWER VOLTAGE INVERTER,Car,$71.99,$4.99
310-1A,PULLEY BARE,Car,$16.99,$0.00
310-2,PULLEY W/ TENSION ARM,Car,$44.99,$0.00
336-2,PULSE AIR FEEDER(CHRYS TYP),Car,$61.99,$0.00
313,PUSH ROD,Car,$6.49,$0.00
160,QUARTER PANEL,Car,$188.99,$8.99
161,QUARTER PANEL EXTENSION,Car,$39.99,$0.99
160-1,QUARTER PANEL SECTION,Car,$114.99,$4.99
160-2,QUARTER TRIM PANEL,Car,$28.99,$0.00
551-1,RACK&PINION STEERING,Car,$62.99,$9.99
675P,RADIATOR (W/O SHRD) TRUCK,Pick-Up/Van,$82.99,$10.99
675,RADIATOR (W/O SHROUD),Car,$76.99,$9.99
675-1,RADIATOR HOSE,Car,$5.99,$0.00
675-2,RADIATOR OVER FLOW BOTTLE,Car,$16.99,$0.00
638-1A,RADIO,Car,$44.99,$0.00
148-5,RAIN VISOR - SIDE,Car,$12.99,$0.00
435-3,REAR DEAD AXLE,Car,$131.99,$9.99
440,REAR END CARRIER ASSEMBLY,Car,$97.99,$7.99
441-1,REAR END CVR-MAY BE PUNCTUR,Car,$15.99,$0.00
443,REAR END DROPOUT 3RD MEMBER,Car,$111.99,$4.99
437,REAR END HOUSING-CAR OR TRK,Car,$83.99,$5.99
449-1,REAR END SPIDER GEAR (EA),Car,$27.99,$0.99
435-2,REAR END W/ DRUMS,Car,$220.99,$14.99
435-1,REAR END W/O DRUMS,Car,$188.99,$14.99
444,REAR END(DISC BRK TYP COMP),Car,$240.99,$24.99
475-1,REAR KNEE ASSY FWD W/O AX,Car,$75.99,$4.99
614-1,RELAY,Car,$9.99,$0.00
445-1,RING OR PINION GEAR,Car,$68.99,$2.99
307-1,ROCKER ARM,Car,$5.99,$0.00
307-2,ROCKER ARM ASSEMBLY,Car,$42.99,$0.00
122,RUNNING BOARD,Car,$32.99,$0.00
210-1,SEAT BELT - PER PERSON,Car,$23.99,$0.00
210-2,SEAT BELT ELEC(AUTOMTC)EA,Car,$52.99,$0.00
210-4,SEAT BELT LOCK/LATCH/END,Car,$14.99,$0.00
210-3,SEAT BELT RETRACTOR TYPE,Car,$29.99,$0.00
232-1,SEAT COVER,Car,$9.99,$0.00
203-3,SEAT MOTOR,Car,$32.99,$0.99
232-2,SEAT PEDESTAL (EACH),Car,$18.99,$0.00
203-2,SEAT TRACK ELEC W/MOTOR (EA),Car,$45.99,$0.00
203-1,SEAT TRACKS (EACH SEAT),Car,$21.99,$0.00
202-3,Seat w/Airbag,Car,$109.99,$0.00
215-1,SEAT-BENCH W/TRK,Car,$77.99,$0.00
202-1,SEAT-BUCK(EA)W/TRK (MAN),Car,$56.99,$0.00
202-2,SEAT-BUCK(EA)W/TRK (PWR),Car,$69.99,$0.00
215-3,SEAT-REAR (EA),Car,$32.99,$0.00
626-1,SENDER (OIL OR WATER),Car,$8.99,$0.00
336-1,SENSOR - MASS AIR FLOW,Car,$64.99,$2.99
627-1,SENSOR MISC,Car,$18.99,$0.00
526-1,SHOCK ABSORBER,Car,$28.99,$0.00
168,SIDELIGHT LENS,Car,$9.99,$0.00
245,SILL PLATE,Car,$14.99,$0.00
343-4,SMOG CANISTER,Car,$32.99,$0.00
343-1,SMOG HOSE (EACH),Car,$5.99,$0.00
341,SMOG PUMP-BARE(NO BRCKTS),Car,$40.99,$4.99
343-3,SMOG VALVE (PCV),Car,$5.99,$0.00
343-2,SMOG VALVE(ANTIBCKFR/GULP),Car,$27.99,$0.00
566-2,SPARE TIRE CARRIER,Car,$29.99,$0.00
566-1,SPARE TIRE COVER,Car,$9.99,$0.00
690-1,SPARK PLUG OR WIRE (EA),Car,$3.89,$0.00
661-1A,SPEAKER EACH,Car,$14.99,$0.00
661-2,SPEAKER GRILLE,Car,$5.99,$0.00
257-1,SPEEDOMETER CABLE,Car,$18.99,$0.00
257,SPEEDOMETER OR TACHOMETER,Car,$27.99,$0.00
515,SPINDLE,Car,$45.99,$1.99
169,SPOILERS - BOLT ON (EA),Car,$42.99,$0.00
518,SPRING / CLOCK,Car,$42.99,$0.00
517,SPRING / COIL TYPE,Car,$32.99,$2.99
516,SPRING / LEAF TYPE,Car,$52.99,$4.99
604,STARTER,Car,$34.99,$9.99
605,STARTER SOLENOID,Car,$11.99,$0.99
551,STEERING BOX W/PITMAN ARM,Car,$61.99,$9.99
238-1,STEERING COLUMN,Car,$64.99,$4.99
238-5,STEERING COLUMN W/ABAG,Car,$102.99,$4.99
238-3,STEERING COUPLER,Car,$18.99,$0.00
238-4,STEERING SECTOR SHAFT,Car,$21.99,$0.00
235-1,STEERING WHEEL,Car,$29.99,$0.00
235-2,STEERING WHEEL HORN RING,Car,$14.99,$0.00
495-1,STRUT MCPHER ASSY W/O SPIN,Car,$47.99,$3.99
495-2,STRUT MCPHER ASSY W/SPINDL,Car,$52.99,$2.99
495-3,STRUT MCPHER W/SPDL/HUB/RTR,Car,$77.99,$4.99
153,SUN ROOF ASSY,Car,$73.99,$0.00
153-2,SUN ROOF MOTOR,Car,$46.99,$1.99
205-1,SUN VISOR,Car,$16.99,$0.00
322,SUPERCHARGER,Car,$114.99,$19.99
524,SWAY BAR,Car,$46.99,$1.99
629-1,SWITCH HEADLIGHT/WIPER,Car,$21.99,$0.00
633-1,SWITCH IGNITION,Car,$21.99,$0.00
629-4A,SWITCH MISC,Car,$16.99,$0.00
641-2,SWITCH POWER WINDOW(MULTI),Car,$21.99,$0.00
641-1,SWITCH POWER WINDOW(SINGLE),Car,$15.99,$0.00
641-3,SWITCH SEAT (POWER),Car,$14.99,$0.00
629-2,SWITCH TURN SIGNAL,Car,$21.99,$0.00
629-3,SWITCH TURN SIGNAL HOUSING,Car,$21.99,$0.00
288,T-TOP (EACH),Car,$84.99,$0.00
166-2A,TAILLIGHT ASSY,Car,$40.99,$0.00
167,TAILLIGHT BULB PANEL,Car,$17.99,$0.00
166-1A,TAILLIGHT LENS,Car,$17.99,$0.00
750,TEE SHIRT,Car,$9.49,$0.00
686-2,THERMOSTAT,Car,$3.89,$0.00
686-1,THERMOSTAT HOUSING,Car,$8.99,$0.00
415-1,THROW OUT BEARING,Car,$18.99,$0.00
415-2,THROW OUT FORK,Car,$31.99,$0.00
503-2,TIE ROD ASSY (EACH),Car,$27.99,$0.00
